total_return_pct,max_drawdown_pct,total_trades,winning_trades,win_rate_pct,sharpe_ratio,final_equity_krw,initial_cash_krw,transaction_cost_bps,total_cost_krw,panel,year,candidate
6.87,-6.03,27,12,44.44,2.1863,1068650.85,1000000,30.0,16408.83,NEW_practical,2022,base
15.17,-5.09,29,13,44.83,3.1465,1151661.49,1000000,30.0,17868.05,NEW_practical,2023,base
1.85,-12.94,33,13,39.39,0.5085,1018500.49,1000000,30.0,19836.49,NEW_practical,2024,base
34.49,-2.83,28,18,64.29,6.3023,1344869.05,1000000,30.0,17936.22,NEW_practical,2025,base
20.86,-3.53,26,14,53.85,4.2254,1208635.94,1000000,30.0,16251.91,NEW_practical,2025,sentiment_rerank
36.44,-2.83,30,18,60.0,6.1676,1364379.86,1000000,30.0,19136.19,NEW_practical,2025,sentiment_hybrid_a0p5
9.81,-7.34,20,8,40.0,3.1348,1098051.32,1000000,30.0,12282.01,NEW_practical,2026,base
37.73,-2.81,26,16,61.54,14.3908,1377298.0,1000000,30.0,16691.07,NEW_practical,2026,sentiment_rerank
9.44,-6.24,17,6,35.29,3.4889,1094445.82,1000000,30.0,10465.74,NEW_practical,2026,sentiment_hybrid_a0p5
12.43,-4.12,27,16,59.26,3.1853,1124310.09,1000000,30.0,16628.78,OLD_random500,2022,base
-3.39,-12.1,37,13,35.14,-0.5099,966116.45,1000000,30.0,22147.83,OLD_random500,2023,base
0.97,-8.0,29,11,37.93,0.3532,1009716.84,1000000,30.0,17448.22,OLD_random500,2024,base
17.16,-7.43,39,17,43.59,3.4476,1171608.04,1000000,30.0,23983.17,OLD_random500,2025,base
16.84,-7.05,36,17,47.22,3.3938,1168435.7,1000000,30.0,22168.1,OLD_random500,2025,sentiment_rerank
20.32,-3.5,39,19,48.72,4.3549,1203177.18,1000000,30.0,24078.23,OLD_random500,2025,sentiment_hybrid_a0p5
1.33,-10.28,20,7,35.0,0.5769,1013304.5,1000000,30.0,12076.14,OLD_random500,2026,base
8.87,-9.64,20,11,55.0,3.1079,1088686.35,1000000,30.0,12302.97,OLD_random500,2026,sentiment_rerank
12.9,-5.82,14,7,50.0,4.2614,1128980.0,1000000,30.0,8813.38,OLD_random500,2026,sentiment_hybrid_a0p5
