config,entry_year,trades,avg_pnl_pct,median_pnl_pct,win_rate_pct,stop_loss_count,take_profit_count,time_exit_count,avg_entry_ret20,avg_entry_vol20,avg_entry_volume_surge
base_t55_sl12_mp4,2022,27,4.765925925925927,1.06,55.55555555555556,7,6,0,0.19715957443280235,0.031081279942222196,5.84189532468465
base_t55_sl12_mp4,2023,42,6.68404761904762,0.9450000000000001,54.761904761904766,6,14,1,0.14971948900174326,0.027864996828713854,5.582219342176099
base_t55_sl12_mp4,2024,42,-0.4504761904761899,-4.34,30.952380952380953,12,6,3,0.1525742885022576,0.02512426998663885,4.959002689084512
base_t55_sl12_mp4,2025,31,2.834516129032258,-3.34,45.16129032258064,8,7,6,0.12287742541334062,0.022907159055284718,9.968655904177318
base_t55_sl12_mp4,2026,10,2.7249999999999996,-7.289999999999999,40.0,1,2,3,0.18140657251799844,0.024797067944972134,6.920156257089862
def_t65_sl8_mp3,2022,19,3.628421052631579,-1.6,47.368421052631575,6,4,0,0.2008782377246292,0.028880243715174742,10.91425088374318
def_t65_sl8_mp3,2023,38,4.428947368421052,-1.2950000000000002,44.73684210526316,12,10,0,0.14106850364622694,0.02495449831946339,5.386465758701667
def_t65_sl8_mp3,2024,37,1.3543243243243246,-2.53,32.432432432432435,12,5,3,0.1518488345998125,0.02453969834931804,7.432587365387985
def_t65_sl8_mp3,2025,24,2.3512500000000003,-3.87,41.66666666666667,9,6,3,0.1413671106430758,0.02083892198029504,9.167202022497175
def_t65_sl8_mp3,2026,8,1.9324999999999997,-8.565000000000001,37.5,5,1,0,0.19408085623168805,0.025980136302100297,15.326062482600502
