symbol,name,trades,pnl_krw,avg_pnl_pct,worst_pnl_pct
356890,싸이버원,1,-18866.46,-18.87,-18.87
049080,기가레인,1,-17758.44,-17.76,-17.76
092460,한라IMS,1,-15508.02,-15.51,-15.51
003960,사조대림,1,-15384.61,-15.38,-15.38
044380,주연테크,1,-14301.08,-14.3,-14.3
276730,한울앤제주,1,-13901.6,-13.9,-13.9
344820,KCC글라스,1,-10990.21,-10.99,-10.99
023160,태광,1,-7729.47,-7.73,-7.73
002210,동성제약,1,-7536.23,-7.54,-7.54
154030,아시아종묘,1,-7375.0,-7.38,-7.38
066430,아이로보틱스,1,-6596.94,-6.6,-6.6
006880,신송홀딩스,1,-6573.96,-6.57,-6.57
333620,엔시스,1,-6173.67,-6.17,-6.17
054940,엑사이엔씨,1,-5166.05,-5.17,-5.17
088910,동우팜투테이블,1,-4761.9,-4.76,-4.76
002290,삼일기업공사,1,-4399.52,-4.4,-4.4
011150,CJ씨푸드,1,-3587.44,-3.59,-3.59
130660,한전산업,1,-3379.95,-3.38,-3.38
017810,풀무원,1,-3089.14,-3.09,-3.09
323410,카카오뱅크,1,-2116.41,-2.12,-2.12
054040,한국컴퓨터,1,-1870.32,-1.87,-1.87
005830,DB손해보험,1,789.48,0.79,0.79
092780,DYP,1,904.16,0.9,0.9
298540,더네이쳐홀딩스,1,1358.49,1.36,1.36
377480,마음AI,1,1595.74,1.6,1.6
092870,엑시콘,1,1960.78,1.96,1.96
175140,휴먼테크놀로지,1,3756.26,3.76,3.76
082640,동양생명,1,16909.98,16.91,16.91
000490,대동,1,17093.96,17.09,17.09
101730,위메이드맥스,1,17983.65,17.98,17.98
005389,현대차3우B,1,20043.82,20.04,20.04
199820,제일일렉트릭,1,21115.89,21.12,21.12
256940,킵스파마,1,22079.77,22.08,22.08
309930,조이웍스앤코,1,23058.82,23.06,23.06
060850,영림원소프트랩,1,24213.84,24.21,24.21
228760,지노믹트리,1,27361.19,27.36,27.36
060540,에스에이티,2,29837.89,14.92,7.14
000120,CJ대한통운,1,30205.94,30.21,30.21
006370,대구백화점,1,31999.99,32.0,32.0
090410,덕신이피씨,1,36893.21,36.89,36.89
357550,석경에이티,1,48212.08,48.21,48.21
