symbol,side,entry_date,entry_price,exit_date,exit_price,quantity,pnl_krw,pnl_pct,holding_steps,exit_reason,name,is_loss
000230,BUY,2023-01-09,19467.16015625,2023-01-25,16525.01953125,5.136856,-15113.35,-15.11,2,stop_loss,일동홀딩스,True
000230,BUY,2023-01-25,16525.01953125,2023-02-15,14073.2373046875,6.05143,-14836.79,-14.84,3,stop_loss,일동홀딩스,True
256940,BUY,2023-02-15,8600.0,2023-03-09,10620.0,11.627907,23488.37,23.49,3,take_profit,킵스파마,False
000120,BUY,2023-01-09,88714.5859375,2023-03-16,75299.6796875,1.12721,-15121.42,-15.12,9,stop_loss,CJ대한통운,True
000300,BUY,2023-01-09,5143.4287109375,2023-03-16,5303.53564453125,19.442284,3112.84,3.11,9,regime_risk_off,DH오토넥스,False
000370,BUY,2023-01-09,4375.94482421875,2023-03-16,4270.61572265625,22.852208,-2407.0,-2.41,9,regime_risk_off,한화손해보험,True
001560,BUY,2023-03-09,9080.55859375,2023-03-16,9020.0205078125,11.012538,-666.68,-0.67,1,regime_risk_off,제일연마,True
131290,BUY,2023-03-30,44008.95703125,2023-04-27,38311.3671875,2.272265,-12946.43,-12.95,4,stop_loss,티에스이,True
092870,BUY,2023-03-30,10526.361328125,2023-05-15,9050.7021484375,9.499959,-14018.7,-14.02,6,stop_loss,엑시콘,True
276730,BUY,2023-03-30,86150.0,2023-05-15,79650.0,1.160766,-7544.98,-7.54,6,regime_risk_off,한울앤제주,True
092070,BUY,2023-03-30,17033.48046875,2023-05-15,14868.951171875,5.870791,-12707.5,-12.71,6,stop_loss,디엔에프,True
009450,BUY,2023-04-27,39994.32421875,2023-05-15,39945.96875,2.500355,-120.91,-0.12,2,regime_risk_off,경동나비엔,True
103840,BUY,2023-05-22,3375.0,2023-06-14,4545.0,29.62963,34666.67,34.67,3,take_profit,우양,False
309930,BUY,2023-05-22,5262.5,2023-06-14,6350.0,19.002375,20665.08,20.67,3,take_profit,조이웍스앤코,False
031980,BUY,2023-05-22,9895.28515625,2023-06-21,16373.560546875,10.105823,65468.3,65.47,4,take_profit,피에스케이홀딩스,False
071850,BUY,2023-05-22,2630.0,2023-07-12,2295.0,38.022814,-12737.64,-12.74,7,stop_loss,캐스텍코리아,True
009450,BUY,2023-06-14,43186.140625,2023-07-12,52519.7578125,2.315558,21612.53,21.61,4,take_profit,경동나비엔,False
222980,BUY,2023-06-14,6010.0,2023-07-19,5180.0,16.638935,-13810.32,-13.81,5,stop_loss,한국맥널티,True
104830,BUY,2023-06-21,29972.0390625,2023-07-26,26615.16796875,3.336443,-11200.01,-11.2,5,regime_risk_off,원익머트리얼즈,True
067900,BUY,2023-07-12,9428.9755859375,2023-07-26,8336.181640625,10.605606,-11589.74,-11.59,2,regime_risk_off,와이엔텍,True
023160,BUY,2023-07-12,20161.17578125,2023-07-26,19010.466796875,4.960028,-5707.55,-5.71,2,regime_risk_off,태광,True
234080,BUY,2023-07-19,12227.8173828125,2023-07-26,11769.3837890625,8.178074,-3749.1,-3.75,1,regime_risk_off,JW생명과학,True
011150,BUY,2023-08-24,3680.0,2023-09-07,3220.0,27.173913,-12500.0,-12.5,2,stop_loss,CJ씨푸드,True
348350,BUY,2023-08-24,15944.1044921875,2023-09-07,13166.11328125,6.271911,-17423.31,-17.42,2,stop_loss,위드텍,True
099190,BUY,2023-09-07,34725.7890625,2023-09-14,30003.869140625,2.879704,-13597.73,-13.6,1,stop_loss,아이센스,True
064290,BUY,2023-08-24,37300.0,2023-09-21,30200.0,2.680965,-19034.85,-19.03,4,stop_loss,인텍플러스,True
264450,BUY,2023-08-24,13442.9033203125,2023-10-04,14008.3447265625,7.438869,4206.24,4.21,5,regime_risk_off,유비쿼스,False
192650,BUY,2023-09-07,12489.6328125,2023-10-04,12461.857421875,8.006641,-222.39,-0.22,3,regime_risk_off,드림텍,True
162300,BUY,2023-09-14,3929.188720703125,2023-10-04,3398.48046875,25.450546,-13506.82,-13.51,2,stop_loss,신스틸,True
003690,BUY,2023-09-21,5096.44189453125,2023-10-04,4758.62109375,19.621532,-6628.56,-6.63,1,regime_risk_off,코리안리,True
002210,BUY,2023-11-02,6710.0,2023-11-09,6530.0,14.90313,-2682.56,-2.68,1,regime_risk_off,동성제약,True
161390,BUY,2023-11-02,36469.26171875,2023-11-09,38500.2421875,2.742035,5569.02,5.57,1,regime_risk_off,한국타이어앤테크놀로지,False
133750,BUY,2023-11-02,2195.887939453125,2023-11-09,2393.376708984375,45.539664,8993.57,8.99,1,regime_risk_off,메가엠디,False
238090,BUY,2023-11-02,3280.0,2023-11-09,3715.0,30.487805,13262.2,13.26,1,regime_risk_off,앤디포스,False
208350,BUY,2023-11-16,4405.0,2023-12-28,4245.0,22.701476,-3632.24,-3.63,6,end_of_replay,지란지교시큐리티,True
039740,BUY,2023-11-16,3290.0,2023-12-28,3655.0,30.395137,11094.22,11.09,6,end_of_replay,한국정보공학,False
003680,BUY,2023-11-16,5550.0,2023-12-28,5790.0,18.018018,4324.32,4.32,6,end_of_replay,한성기업,False
043650,BUY,2023-11-16,5600.34326171875,2023-12-28,5719.5869140625,17.856048,2129.22,2.13,6,end_of_replay,국순당,False
