name,step,score_threshold,stop_loss_pct,take_profit_pct,return_pct,mdd_pct,sharpe,win_rate,trades
s10_t65_sl7_tp15_h20,10,65,0.07,0.15,5.57,-3.58,1.4217,48.0,25
s10_t55_sl7_tp15_h20,10,55,0.07,0.15,5.27,-3.59,1.3446,46.15,26
s10_t60_sl7_tp15_h20,10,60,0.07,0.15,5.27,-3.59,1.3446,46.15,26
s10_t65_sl10_tp15_h20,10,65,0.1,0.15,4.99,-5.67,1.2082,45.83,24
s10_t55_sl10_tp15_h20,10,55,0.1,0.15,4.69,-5.69,1.1365,44.0,25
s10_t60_sl10_tp15_h20,10,60,0.1,0.15,4.69,-5.69,1.1365,44.0,25
s10_t65_sl7_tp20_h20,10,65,0.07,0.2,3.51,-3.66,0.9329,45.83,24
s10_t55_sl7_tp20_h20,10,55,0.07,0.2,3.21,-3.67,0.8558,44.0,25
s10_t60_sl7_tp20_h20,10,60,0.07,0.2,3.21,-3.67,0.8558,44.0,25
s10_t65_sl10_tp20_h20,10,65,0.1,0.2,2.93,-5.78,0.7438,43.48,23
s10_t65_sl7_tp10_h20,10,65,0.07,0.1,2.65,-4.42,0.7265,44.83,29
s10_t55_sl10_tp20_h20,10,55,0.1,0.2,2.63,-5.8,0.6721,41.67,24
s10_t60_sl10_tp20_h20,10,60,0.1,0.2,2.63,-5.8,0.6721,41.67,24
s10_t55_sl7_tp10_h20,10,55,0.07,0.1,2.35,-4.43,0.6489,43.33,30
s10_t60_sl7_tp10_h20,10,60,0.07,0.1,2.35,-4.43,0.6489,43.33,30
s10_t65_sl10_tp10_h20,10,65,0.1,0.1,2.03,-6.53,0.5395,44.44,27
s10_t55_sl10_tp10_h20,10,55,0.1,0.1,1.73,-6.55,0.4673,42.86,28
s10_t60_sl10_tp10_h20,10,60,0.1,0.1,1.73,-6.55,0.4673,42.86,28
s10_t65_sl15_tp15_h20,10,65,0.15,0.15,0.87,-8.77,0.2328,45.45,22
s10_t55_sl15_tp15_h20,10,55,0.15,0.15,0.57,-8.8,0.1759,43.48,23
s10_t60_sl15_tp15_h20,10,60,0.15,0.15,0.57,-8.8,0.1759,43.48,23
s10_t65_sl10_tp25_h20,10,65,0.1,0.25,-0.64,-5.95,-0.0833,40.91,22
s10_t55_sl10_tp25_h20,10,55,0.1,0.25,-0.93,-5.96,-0.1491,39.13,23
s10_t60_sl10_tp25_h20,10,60,0.1,0.25,-0.93,-5.96,-0.1491,39.13,23
s10_t65_sl15_tp20_h20,10,65,0.15,0.2,-1.19,-8.94,-0.1613,42.86,21
s10_t55_sl15_tp20_h20,10,55,0.15,0.2,-1.49,-8.97,-0.2179,40.91,22
s10_t60_sl15_tp20_h20,10,60,0.15,0.2,-1.49,-8.97,-0.2179,40.91,22
s10_t65_sl15_tp10_h20,10,65,0.15,0.1,-1.68,-8.81,-0.2641,43.48,23
s10_t55_sl15_tp10_h20,10,55,0.15,0.1,-1.98,-8.83,-0.3217,41.67,24
s10_t60_sl15_tp10_h20,10,60,0.15,0.1,-1.98,-8.83,-0.3217,41.67,24
s10_t65_sl7_tp25_h20,10,65,0.07,0.25,-2.39,-6.77,-0.466,42.86,21
s10_t55_sl7_tp25_h20,10,55,0.07,0.25,-2.69,-6.79,-0.5301,40.91,22
s10_t60_sl7_tp25_h20,10,60,0.07,0.25,-2.69,-6.79,-0.5301,40.91,22
s10_t65_sl20_tp15_h20,10,65,0.2,0.15,-3.41,-10.57,-0.7378,42.86,21
s10_t65_sl15_tp25_h20,10,65,0.15,0.25,-4.49,-9.2,-0.7595,42.11,19
s10_t55_sl20_tp15_h20,10,55,0.2,0.15,-3.71,-10.6,-0.8052,40.91,22
s10_t60_sl20_tp15_h20,10,60,0.2,0.15,-3.71,-10.6,-0.8052,40.91,22
s10_t55_sl15_tp25_h20,10,55,0.15,0.25,-4.79,-9.22,-0.8128,40.0,20
s10_t60_sl15_tp25_h20,10,60,0.15,0.25,-4.79,-9.22,-0.8128,40.0,20
s10_t65_sl20_tp20_h20,10,65,0.2,0.2,-5.47,-10.78,-1.241,40.0,20
s10_t55_sl20_tp20_h20,10,55,0.2,0.2,-5.77,-10.81,-1.3088,38.1,21
s10_t60_sl20_tp20_h20,10,60,0.2,0.2,-5.77,-10.81,-1.3088,38.1,21
s10_t65_sl20_tp10_h20,10,65,0.2,0.1,-5.97,-10.61,-1.3958,40.91,22
s10_t55_sl20_tp10_h20,10,55,0.2,0.1,-6.26,-10.64,-1.4651,39.13,23
s10_t60_sl20_tp10_h20,10,60,0.2,0.1,-6.26,-10.64,-1.4651,39.13,23
s10_t65_sl20_tp25_h20,10,65,0.2,0.25,-8.78,-13.23,-1.9196,38.89,18
s10_t55_sl20_tp25_h20,10,55,0.2,0.25,-9.07,-13.27,-1.9831,36.84,19
s10_t60_sl20_tp25_h20,10,60,0.2,0.25,-9.07,-13.27,-1.9831,36.84,19
