name,step,score_threshold,stop_loss_pct,take_profit_pct,max_holding_steps,max_positions,trailing_stop_pct,sizing_mode,min_volume,total_return_pct,max_drawdown_pct,sharpe_ratio,total_trades,win_rate_pct,final_equity_krw
s5_t55_sl12_tp20_h20_mp4_tr0_flat,5,55.0,0.12,0.2,20,4,0.0,flat,0.0,47.01,-10.14,2.5161,134,45.52,1470070.5
s5_t55_sl12_tp25_h20_mp4_tr0_flat,5,55.0,0.12,0.25,20,4,0.0,flat,0.0,37.02,-10.3,1.9733,122,45.08,1370184.18
s5_t55_sl12_tp30_h20_mp4_tr0_flat,5,55.0,0.12,0.3,20,4,0.0,flat,0.0,36.57,-8.68,1.9427,121,45.45,1365748.8
s5_t55_sl15_tp20_h20_mp4_tr0_flat,5,55.0,0.15,0.2,20,4,0.0,flat,0.0,45.15,-10.63,2.3579,124,45.97,1451491.77
s5_t55_sl15_tp25_h20_mp4_tr0_flat,5,55.0,0.15,0.25,20,4,0.0,flat,0.0,34.62,-12.18,1.8108,113,45.13,1346184.62
s5_t55_sl15_tp30_h20_mp4_tr0_flat,5,55.0,0.15,0.3,20,4,0.0,flat,0.0,30.25,-11.73,1.6318,111,45.05,1302542.62
s5_t60_sl12_tp20_h20_mp4_tr0_flat,5,60.0,0.12,0.2,20,4,0.0,flat,0.0,47.01,-10.14,2.5161,134,45.52,1470070.5
s5_t60_sl12_tp25_h20_mp4_tr0_flat,5,60.0,0.12,0.25,20,4,0.0,flat,0.0,37.02,-10.3,1.9733,122,45.08,1370184.18
s5_t60_sl12_tp30_h20_mp4_tr0_flat,5,60.0,0.12,0.3,20,4,0.0,flat,0.0,36.57,-8.68,1.9427,121,45.45,1365748.8
s5_t60_sl15_tp20_h20_mp4_tr0_flat,5,60.0,0.15,0.2,20,4,0.0,flat,0.0,45.15,-10.63,2.3579,124,45.97,1451491.77
s5_t60_sl15_tp25_h20_mp4_tr0_flat,5,60.0,0.15,0.25,20,4,0.0,flat,0.0,34.62,-12.18,1.8108,113,45.13,1346184.62
s5_t60_sl15_tp30_h20_mp4_tr0_flat,5,60.0,0.15,0.3,20,4,0.0,flat,0.0,30.25,-11.73,1.6318,111,45.05,1302542.62
